locale,play_console_locale,review_status,asset_id,asset_kind,device,position,headline,supporting_copy,measurement_copy,alt_text,alt_text_characters,claim_evidence,evidence_gate
"en-US","en-US","COPY_APPROVED_ASSET_SOURCE_BLOCKED","app-icon-512","icon","common","","","","","Blue and purple layered photo cards with inward compression arrows, the Photo Compressor & BG Remover app icon.","111","localization-brand-audit.md — brand and icon audit","Authoritative ic_splitframe_logo.png is missing; do not call the icon final until the source is supplied or confirmed."
"en-US","en-US","COPY_APPROVED_VISUAL_EVIDENCE_REQUIRED","feature-graphic","feature-graphic","feature-graphic","","Smaller Photos. Clean Backgrounds.","Compress • Remove • Replace","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% • {COMPRESSION_RATIO}:1","A real photo transformation pairs a smaller file with a clean-background result and the app's result panel.","107","feature-evidence.md — compression; background removal; solid-color replacement","Use the same-run measured result panel and genuine app-created transformation; no invented numbers or edited mask."
"en-US","en-US","COPY_APPROVED_RUNTIME_EVIDENCE_REQUIRED","phone-01-compression","screenshot","phone","1","Smaller Photos. Still Sharp.","","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% saved","Real original and compressed photos with measured file sizes, percentage saved, and matching 100% detail crops.","111","feature-evidence.md — file-size savings; before/after comparison","Populate tokens from one retained real run; use unaltered source/result 100% crops; reject the frame if the detail does not support the headline."
"en-US","en-US","COPY_APPROVED_RUNTIME_EVIDENCE_REQUIRED","phone-02-background-removal","screenshot","phone","2","Remove Backgrounds Easily","","","The app removes a photo background and shows the real cutout over a checkerboard transparency pattern.","102","feature-evidence.md — background removal; transparent export","Use the real app-created cutout. The required headline is Easily, never in one tap, instant, or perfect."
"en-US","en-US","COPY_APPROVED_RUNTIME_EVIDENCE_REQUIRED","phone-03-solid-color","screenshot","phone","3","Replace with Any Solid Color","White • Blue • Green • Red","","A real cutout appears on white, blue, green, and red solid backgrounds beside the app's color controls.","103","feature-evidence.md — solid-color background replacement","Reuse the same real cutout and real palette/custom-RGB workflow; do not imply photo-scene or generated backgrounds."
"en-US","en-US","COPY_APPROVED_RUNTIME_EVIDENCE_REQUIRED","phone-04-batch","screenshot","phone","4","Compress More Photos at Once","","","The app processes several selected photos, showing real batch progress and completed compression results.","105","feature-evidence.md — batch compression","Compose only compatible real selection, progress, and completion crops; do not fabricate one impossible app state."
"en-US","en-US","COPY_APPROVED_CAPTURE_REQUIRED","phone-05-resize","screenshot","phone","5","Resize by Percent or Pixels","25% • 50% • 75% • Custom width & height • Maintain aspect ratio","","Resize controls show 25%, 50%, 75%, custom width and height, and the maintain-aspect-ratio option.","98","feature-evidence.md — percentage resizing; custom dimensions","Show only controls present in the real app; no social, email, passport, or platform presets."
"en-US","en-US","COPY_APPROVED_CAPTURE_REQUIRED","phone-06-format","screenshot","phone","6","Convert JPG, PNG & WEBP","","","The app's format controls and result screen show real conversion among JPG, PNG, and WEBP.","90","feature-evidence.md — format conversion","Use a real conversion flow and generic format labels; do not imply arbitrary formats."
"en-US","en-US","COPY_APPROVED_RUNTIME_EVIDENCE_REQUIRED","phone-07-comparison","screenshot","phone","7","See the Difference","","Original {ORIGINAL_SIZE} • Processed {PROCESSED_SIZE} • {PERCENT_SAVED}% saved • {COMPRESSION_RATIO}:1","Original and processed previews appear with real sizes, percentage saved, and compression ratio.","96","feature-evidence.md — comparison; statistics","Populate all tokens from the same real run; do not add a slider or present a marketing detail crop as an in-app zoom feature."
"en-US","en-US","COPY_APPROVED_OUTPUT_INSPECTION_REQUIRED","phone-08-trust","screenshot","phone","8","Image Processing Stays on Device","Images aren't uploaded for processing • No account required • No watermark added by the app • Save and share easily","","On-device image processing is explained with no account required, no watermark added, save, and share.","102","feature-evidence.md — on-device processing; no account; no watermark; save/share","Inspect the real output for no app-added watermark. Keep the claim scoped to image processing; never say the whole ad-supported app is offline or collects no data."
"en-US","en-US","EXPERIMENT_COPY_APPROVED_MEASUREMENT_REQUIRED","experiment-01-a-savings","experiment-screenshot","phone","1","This Photo File Is {PERCENT_SAVED}% Smaller","","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% saved","Real original and compressed photos with measured file sizes, percentage saved, and matching 100% detail crops.","111","experiment-plan.md — Experiment 1 cell A","Populate the sample-specific number from real evidence. Keep all visual evidence identical to cell B; change headline/value emphasis only."
"en-US","en-US","EXPERIMENT_COPY_APPROVED_RUNTIME_EVIDENCE_REQUIRED","experiment-01-b-quality","experiment-screenshot","phone","1","Smaller Photos. Still Sharp.","","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% saved","Real original and compressed photos with measured file sizes, percentage saved, and matching 100% detail crops.","111","experiment-plan.md — Experiment 1 cell B","Keep all visual evidence identical to cell A; change headline/value emphasis only. Detail crops must support the wording."
"en-US","en-US","CUSTOM_LISTING_CANDIDATE_RUNTIME_EVIDENCE_REQUIRED","custom-bg-removal-first","carousel-order","phone","1","Remove Backgrounds Easily","","","The app removes a photo background and shows the real cutout over a checkerboard transparency pattern.","102","experiment-plan.md — Candidate 2","For a verified background-removal-intent segment, move the unchanged background frame to position 01 and compression to 02; do not alter other assets."
"hi-IN","hi-IN","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","app-icon-512","icon","common","","","","","Photo Compressor & BG Remover का ऐप आइकन: नीले और बैंगनी लेयर्ड फ़ोटो कार्ड और अंदर की ओर कम्प्रेशन तीर।","104","localization-brand-audit.md — Hindi app locale present","Qualified Hindi alt-text review and final visual matching required; icon source blocker also applies."
"hi-IN","hi-IN","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","feature-graphic","feature-graphic","feature-graphic","","छोटी फ़ोटो। साफ़ बैकग्राउंड।","कम्प्रेस • हटाएँ • बदलें","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% • {COMPRESSION_RATIO}:1","वास्तविक फ़ोटो बदलाव में छोटी फ़ाइल, साफ़ बैकग्राउंड परिणाम और ऐप का परिणाम पैनल दिखता है।","90","values-hi terminology anchors; English claim evidence","Qualified Hindi review plus same-run measured result-panel evidence required."
"hi-IN","hi-IN","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-01-compression","screenshot","phone","1","छोटी फ़ोटो। डिटेल साफ़।","","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% बचत","मूल और कम्प्रेस की गई वास्तविक फ़ोटो, मापे गए फ़ाइल आकार, बचत प्रतिशत और समान 100% डिटेल क्रॉप।","95","values-hi terminology anchors; English claim evidence","Qualified Hindi review required; real measurement and unaltered detail evidence gates also apply."
"hi-IN","hi-IN","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-02-background-removal","screenshot","phone","2","बैकग्राउंड आसानी से हटाएँ","","","ऐप फ़ोटो का बैकग्राउंड हटाकर वास्तविक कटआउट को चेकरबोर्ड पारदर्शिता पर दिखाता है।","81","values-hi remove_background; English claim evidence","Qualified Hindi review required. Preserve the Easily meaning; never introduce one tap, instant, or perfect."
"hi-IN","hi-IN","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-03-solid-color","screenshot","phone","3","किसी भी ठोस रंग से बदलें","सफ़ेद • नीला • हरा • लाल","","वास्तविक कटआउट सफ़ेद, नीले, हरे और लाल ठोस बैकग्राउंड के साथ ऐप के रंग नियंत्रणों के पास दिखता है।","98","values-hi replacement_color/custom_color; English claim evidence","Qualified Hindi review and real solid-color workflow evidence required; no photo-scene implication."
"hi-IN","hi-IN","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-04-batch","screenshot","phone","4","कई फ़ोटो एक साथ कम्प्रेस करें","","","ऐप कई चुनी गई फ़ोटो को प्रोसेस करते हुए वास्तविक बैच प्रगति और पूरे हुए कम्प्रेशन परिणाम दिखाता है।","99","values-hi batch terminology; English claim evidence","Qualified Hindi review and real selection/progress/completion captures required."
"hi-IN","hi-IN","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-05-resize","screenshot","phone","5","प्रतिशत या पिक्सेल से आकार बदलें","25% • 50% • 75% • कस्टम चौड़ाई और ऊँचाई • आस्पेक्ट रेशियो बनाए रखें","","आकार नियंत्रण 25%, 50%, 75%, कस्टम चौड़ाई-ऊँचाई और आस्पेक्ट रेशियो बनाए रखने का विकल्प दिखाते हैं।","98","values-hi resize/width/height/aspect terminology; English claim evidence","Qualified Hindi review and rendered layout QA required; show only real controls."
"hi-IN","hi-IN","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-06-format","screenshot","phone","6","JPG, PNG और WEBP में बदलें","","","ऐप के फ़ॉर्मैट नियंत्रण और परिणाम JPG, PNG और WEBP के बीच वास्तविक रूपांतरण दिखाते हैं।","87","values-hi format terminology; English claim evidence","Qualified Hindi review and real conversion capture required."
"hi-IN","hi-IN","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-07-comparison","screenshot","phone","7","फ़र्क देखें","","मूल {ORIGINAL_SIZE} • प्रोसेस किया गया {PROCESSED_SIZE} • {PERCENT_SAVED}% बचत • अनुपात {COMPRESSION_RATIO}:1","मूल और प्रोसेस किए गए प्रीव्यू के साथ वास्तविक आकार, बचत प्रतिशत और कम्प्रेशन अनुपात दिखता है।","94","values-hi result metric terminology; English claim evidence","Qualified Hindi review and same-run measurement evidence required; no fake slider or zoom."
"hi-IN","hi-IN","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-08-trust","screenshot","phone","8","इमेज प्रोसेसिंग डिवाइस पर होती है","प्रोसेसिंग के लिए छवियाँ अपलोड नहीं होतीं • अकाउंट की ज़रूरत नहीं • ऐप वॉटरमार्क नहीं जोड़ता • आसानी से सहेजें और साझा करें","","डिवाइस पर इमेज प्रोसेसिंग के साथ अकाउंट, वॉटरमार्क, सहेजने और साझा करने की जानकारी।","83","values-hi background_offline_note/save_and_share; English claim evidence","Qualified Hindi review required for new account/watermark wording; inspect output and keep claim scoped to processing."
"gu-IN","gu","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","app-icon-512","icon","common","","","","","Photo Compressor & BG Removerનું ઍપ આઇકન: વાદળી અને જાંબલી લેયર્ડ ફોટો કાર્ડ અને અંદર તરફ કમ્પ્રેશન તીર.","104","localization-brand-audit.md — Gujarati app locale present","Qualified Gujarati alt-text review and final visual matching required; Play target is gu; icon source blocker also applies."
"gu-IN","gu","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","feature-graphic","feature-graphic","feature-graphic","","નાના ફોટા. સ્વચ્છ બૅકગ્રાઉન્ડ.","કમ્પ્રેસ • દૂર કરો • બદલો","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% • {COMPRESSION_RATIO}:1","વાસ્તવિક ફોટો પરિવર્તનમાં નાની ફાઇલ, સ્વચ્છ બૅકગ્રાઉન્ડ પરિણામ અને ઍપનું પરિણામ પેનલ દેખાય છે.","94","values-gu terminology anchors; English claim evidence","Qualified Gujarati review plus same-run measured result-panel evidence required."
"gu-IN","gu","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-01-compression","screenshot","phone","1","નાના ફોટા. સ્પષ્ટ વિગતો.","","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% બચત","વાસ્તવિક મૂળ અને કમ્પ્રેસ કરેલા ફોટા સાથે માપેલી ફાઇલ સાઇઝ, બચતની ટકાવારી અને સમાન 100% ડિટેલ ક્રોપ.","100","values-gu terminology anchors; English claim evidence","Qualified Gujarati review required; real measurement and unaltered detail evidence gates also apply."
"gu-IN","gu","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-02-background-removal","screenshot","phone","2","બૅકગ્રાઉન્ડ સરળતાથી દૂર કરો","","","ઍપ ફોટાનું બૅકગ્રાઉન્ડ દૂર કરીને વાસ્તવિક કટઆઉટને ચેકરબોર્ડ પારદર્શિતા પર બતાવે છે.","83","values-gu remove_background; English claim evidence","Qualified Gujarati review required. Preserve the Easily meaning; never introduce one tap, instant, or perfect."
"gu-IN","gu","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-03-solid-color","screenshot","phone","3","કોઈપણ ઘન રંગથી બદલો","સફેદ • વાદળી • લીલો • લાલ","","વાસ્તવિક કટઆઉટ સફેદ, વાદળી, લીલા અને લાલ ઘન બૅકગ્રાઉન્ડ સાથે ઍપના રંગ નિયંત્રણો પાસે દેખાય છે.","94","values-gu replacement_color/custom_color; English claim evidence","Qualified Gujarati review and real solid-color workflow evidence required; no photo-scene implication."
"gu-IN","gu","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-04-batch","screenshot","phone","4","એક સાથે વધુ ફોટા કમ્પ્રેસ કરો","","","ઍપ ઘણા પસંદ કરેલા ફોટા પ્રોસેસ કરીને વાસ્તવિક બૅચ પ્રગતિ અને પૂર્ણ કમ્પ્રેશન પરિણામો બતાવે છે.","94","values-gu batch terminology; English claim evidence","Qualified Gujarati review and real selection/progress/completion captures required."
"gu-IN","gu","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-05-resize","screenshot","phone","5","ટકાવારી અથવા પિક્સેલથી કદ બદલો","25% • 50% • 75% • કસ્ટમ પહોળાઈ અને ઊંચાઈ • આસ્પેક્ટ રેશિયો જાળવો","","કદનાં નિયંત્રણોમાં 25%, 50%, 75%, કસ્ટમ પહોળાઈ-ઊંચાઈ અને આસ્પેક્ટ રેશિયો જાળવવાનો વિકલ્પ દેખાય છે.","98","values-gu resize/width/height/aspect terminology; English claim evidence","Qualified Gujarati review and rendered layout QA required; show only real controls."
"gu-IN","gu","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-06-format","screenshot","phone","6","JPG, PNG અને WEBPમાં કન્વર્ટ કરો","","","ઍપનાં ફૉર્મેટ નિયંત્રણો અને પરિણામ JPG, PNG અને WEBP વચ્ચેનું વાસ્તવિક રૂપાંતરણ બતાવે છે.","89","values-gu format terminology; English claim evidence","Qualified Gujarati review and real conversion capture required."
"gu-IN","gu","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-07-comparison","screenshot","phone","7","ફરક જુઓ","","મૂળ {ORIGINAL_SIZE} • પ્રોસેસ કરેલું {PROCESSED_SIZE} • {PERCENT_SAVED}% બચત • ગુણોત્તર {COMPRESSION_RATIO}:1","મૂળ અને પ્રોસેસ કરેલા પ્રિવ્યૂ સાથે વાસ્તવિક કદ, બચતની ટકાવારી અને કમ્પ્રેશન ગુણોત્તર દેખાય છે.","95","values-gu result metric terminology; English claim evidence","Qualified Gujarati review and same-run measurement evidence required; no fake slider or zoom."
"gu-IN","gu","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-08-trust","screenshot","phone","8","ઇમેજ પ્રોસેસિંગ ડિવાઇસ પર થાય છે","પ્રોસેસિંગ માટે છબીઓ અપલોડ થતી નથી • એકાઉન્ટની જરૂર નથી • ઍપ વૉટરમાર્ક ઉમેરતી નથી • સરળતાથી સાચવો અને શેર કરો","","ડિવાઇસ પર ઇમેજ પ્રોસેસિંગ સાથે એકાઉન્ટ, વૉટરમાર્ક, સાચવવા અને શેર કરવાની માહિતી.","80","values-gu background_offline_note/save_and_share; English claim evidence","Qualified Gujarati review required for new account/watermark wording; inspect output and keep claim scoped to processing."
"ru-RU","ru-RU","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","app-icon-512","icon","common","","","","","Значок Photo Compressor & BG Remover: синие и фиолетовые карточки фото и направленные внутрь стрелки сжатия.","108","localization-brand-audit.md — Russian app locale present","Qualified Russian alt-text review and final visual matching required; icon source blocker also applies."
"ru-RU","ru-RU","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","feature-graphic","feature-graphic","feature-graphic","","Фото меньше. Фон чистый.","Сжать • Удалить • Заменить","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • {PERCENT_SAVED}% • {COMPRESSION_RATIO}:1","Реальное преобразование показывает меньший файл, результат с чистым фоном и панель результата приложения.","105","values-ru terminology anchors; English claim evidence","Qualified Russian review plus same-run measured result-panel evidence required."
"ru-RU","ru-RU","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-01-compression","screenshot","phone","1","Файл меньше. Детали чёткие.","","{ORIGINAL_SIZE} → {PROCESSED_SIZE} • Экономия {PERCENT_SAVED}%","Реальные исходное и сжатое фото с измеренными размерами файлов, процентом экономии и одинаковыми фрагментами 100%.","114","values-ru terminology anchors; English claim evidence","Qualified Russian review required; real measurement and unaltered detail evidence gates also apply."
"ru-RU","ru-RU","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-02-background-removal","screenshot","phone","2","Легко удаляйте фон","","","Приложение удаляет фон фото и показывает реальный вырезанный объект на шахматном фоне прозрачности.","99","values-ru remove_background; English claim evidence","Qualified Russian review required. Preserve the Easily meaning; never introduce one tap, instant, or perfect."
"ru-RU","ru-RU","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-03-solid-color","screenshot","phone","3","Замените фон сплошным цветом","Белый • Синий • Зелёный • Красный","","Реальный вырезанный объект показан на белом, синем, зелёном и красном фонах рядом с настройками цвета.","102","values-ru replacement_color/custom_color; English claim evidence","Qualified Russian review and real solid-color workflow evidence required; no photo-scene implication."
"ru-RU","ru-RU","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-04-batch","screenshot","phone","4","Сжимайте несколько фото сразу","","","Приложение обрабатывает несколько выбранных фото, показывая реальный ход пакета и готовые результаты сжатия.","108","values-ru batch terminology; English claim evidence","Qualified Russian review and real selection/progress/completion captures required."
"ru-RU","ru-RU","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-05-resize","screenshot","phone","5","Размер в процентах или пикселях","25% • 50% • 75% • Свои ширина и высота • Сохранить соотношение сторон","","Настройки размера показывают 25%, 50%, 75%, свои ширину и высоту и сохранение соотношения сторон.","97","values-ru resize/width/height/aspect terminology; English claim evidence","Qualified Russian review and rendered layout QA required; show only real controls."
"ru-RU","ru-RU","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-06-format","screenshot","phone","6","Конвертируйте JPG, PNG и WEBP","","","Настройки формата и экран результата показывают реальное преобразование между JPG, PNG и WEBP.","94","values-ru format terminology; English claim evidence","Qualified Russian review and real conversion capture required."
"ru-RU","ru-RU","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-07-comparison","screenshot","phone","7","Посмотрите разницу","","Исходный размер: {ORIGINAL_SIZE} • Обработанный: {PROCESSED_SIZE} • Экономия {PERCENT_SAVED}% • {COMPRESSION_RATIO}:1","Исходный и обработанный предпросмотры показаны с реальными размерами, экономией в процентах и коэффициентом сжатия.","115","values-ru result metric terminology; English claim evidence","Qualified Russian review and same-run measurement evidence required; no fake slider or zoom."
"ru-RU","ru-RU","TRANSLATION_REVIEW_REQUIRED_DO_NOT_PUBLISH","phone-08-trust","screenshot","phone","8","Обработка изображений — на устройстве","Изображения не загружаются для обработки • Аккаунт не требуется • Приложение не добавляет водяной знак • Легко сохраняйте и делитесь","","Обработка на устройстве показана вместе с фактами об аккаунте, водяном знаке, сохранении и отправке.","100","values-ru background_offline_note/save_and_share; English claim evidence","Qualified Russian review required for new account/watermark wording; inspect output and keep claim scoped to processing."
