path,locale,category,width,height,bytes,sha256,authentic_ui_or_registered_evidence,ad_scan,automated_status
final/common/icon/app-icon-512.png,common,icon,512,512,257306,67ba8d25e22af19b85fa2406e2eb96699132051bbfd7c26635b3f0fb102188b9,REGISTERED_ICON,NOT_APPLICABLE_REGISTERED_INPUTS,PASS
final/en/feature-graphic/feature-graphic-1024x500.png,en,feature-graphic,1024,500,440908,173c28ea08bb4e7111c2df56e853c162c58da4a4d52c0d1721238b2ada7d4857,REGISTERED_REAL_BEFORE_AFTER_AND_LOCALIZED_UI,NOT_APPLICABLE_REGISTERED_INPUTS,PASS
final/en/all-features-3840x2160.png,en,common-sheet,3840,2160,4072781,aa978550d1141a70fbe490911e45dfb03740096a5474d686684445c53e4dc89c,LOCALIZED_ALL_FEATURES_OVERVIEW_FROM_AUTHENTIC_CAPTURES,PASS,PASS
final/en/phone/background.png,en,phone,2160,3840,4296087,17eb1a6895dee6f7d8f9bd89fc76428f69406f97e89fbbc629e46273f67e621a,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/phone/batch.png,en,phone,2160,3840,431752,772795dd59d4751bbf1e3504ecf3f77db444f5aad55d60e9d6e5105660bdfcd6,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/phone/editor.png,en,phone,2160,3840,7021183,15074a02adc5ae2d456e48d50608999ef9501585fc076f4f8450e0ddd67bd319,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/phone/history.png,en,phone,2160,3840,1928332,303264b725727eda37fe515775ba108dec0052524ca11a0841ff0b81ffb990b6,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/phone/home.png,en,phone,2160,3840,1035122,2be00d7f7ab18ef1e7b3879cc24d5f4e4aa211980d0171e5cb3e31abc27b6c08,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/phone/result-stats.png,en,phone,2160,3840,1526700,80bf249d79d837cca14563df5b5529da46bd92c910dc252c5d8d02d03cc23b6b,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/phone/result.png,en,phone,2160,3840,5212179,e714b5de59ef9dedf281cabb1067324e23db98fac81bd3205b39a6ab6865ebcb,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/phone/settings.png,en,phone,2160,3840,572361,673e7134fa264add499a35ee62a79452082270acbac9ce13b324a9de877e5db9,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-7/background.png,en,tablet-7,3840,2160,4339762,104522d98be44a049d4bac2af0a38e6737b84a3b87715d63f8a5aeda309af915,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-7/batch.png,en,tablet-7,3840,2160,374360,1090d5c9ba0019831191b2b5c71f6349d588051453d31d4f4b4c402d124d9bb6,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-7/editor.png,en,tablet-7,3840,2160,4987007,8478289c6f43fee6b6148db82db15dad90d2096fab139a85034d6253331834da,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-7/history.png,en,tablet-7,3840,2160,1148796,e659f5d353199c8770986dea347e974c430ef7c076a15ccd57bdf2dccaa427de,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-7/home.png,en,tablet-7,3840,2160,880232,ad83454ed2af717557ce84436a286e97210489f90b738966a85d9cedaeb95bc2,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-7/result-stats.png,en,tablet-7,3840,2160,668306,ff58014a9a0c370f1fc6515bf968df259831bf267e24eb00d78d7711f2d923c5,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-7/result.png,en,tablet-7,3840,2160,5974956,4b372c420080bacdf5d5c5c311b85ecd1cb6cf1990d86eeaa19a4b2dec523f79,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-7/settings.png,en,tablet-7,3840,2160,432555,a146f45926fd365303c68b3579dd6bc743711a4254b7ae76eefcd84b09eaf962,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-10/background.png,en,tablet-10,3840,2160,4589577,56dbf0abf720c0fcf0b1ee8d3d78abddcbea12a8d755a4701906e7c2bc31c54c,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-10/batch.png,en,tablet-10,3840,2160,351763,f9deaad6fa577e173489cc8eda9b335731781b2368df0d39fbd1ecf4ef99f453,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-10/editor.png,en,tablet-10,3840,2160,5218969,c01f77e821207590fab281cf13358b46fa538c1128425ec486e82e47f1b82a1d,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-10/history.png,en,tablet-10,3840,2160,915759,8ad3a4cfcbf357d564f43a1c727de2d9a4cfcff62ac166fe51e25a9942c6bc24,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-10/home.png,en,tablet-10,3840,2160,895626,072e049e52f5665e0dc79a09f3c8d6b780e0cd231fc98c7907f96bf2177041da,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-10/result-stats.png,en,tablet-10,3840,2160,450226,0382b617764bde1835703ca980a532d3f4bdddf55496830ba0da57645d8960b4,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-10/result.png,en,tablet-10,3840,2160,6387484,d51a98fac0f86ecf1ecc0ba7299166981b5d3ea1c672900efff10ddadfb2c94a,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/tablet-10/settings.png,en,tablet-10,3840,2160,463704,cd8a77b48976bbe6ddb4bb6a1f3e2c00f16f6500a7616548284a50b879e14970,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/chromebook/background.png,en,chromebook,3840,2160,5020259,13cd5618f3fb390bcaa1580a067f431d91f006c5dac5631639a61a0c7cbb33fd,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/chromebook/batch.png,en,chromebook,3840,2160,313476,97c89547c8bc8b9a39bdc3191f0f4d6987733f61f2fa2c8377e610dc4fcdfbbc,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/chromebook/editor.png,en,chromebook,3840,2160,5610944,db30c20e65e0c5a21f79cfde58b74481d726b08989945d91378229552e7a5675,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/chromebook/history.png,en,chromebook,3840,2160,592092,c3cb0ff1e45f1af9b51b3408945d2b0214c6f72135b1be29b2e925fab43d5e12,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/chromebook/home.png,en,chromebook,3840,2160,578879,57ef0dbccc219dc28de40246e6fb2afe5438db4fe84dfb837dcfe524b0fe7a55,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/chromebook/result-stats.png,en,chromebook,3840,2160,606117,84afd6ea773fab7bac1eaa86d7c31e8c5b068cc8dbe04c418fac96d33e74ac12,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/chromebook/result.png,en,chromebook,3840,2160,7045548,92d463778c5bbaba303f01120dc518890098196d2b2d538a8e8854c99e31d80c,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/en/chromebook/settings.png,en,chromebook,3840,2160,404669,759ae80047d12173ff33f2ad42d9dce68fb15c9e290a74cb7c0c5f7b20049574,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/feature-graphic/feature-graphic-1024x500.png,de,feature-graphic,1024,500,452866,24a8924407b0b0957458e7754d63b63db003b7ba13de4b82859303f32e34a523,REGISTERED_REAL_BEFORE_AFTER_AND_LOCALIZED_UI,NOT_APPLICABLE_REGISTERED_INPUTS,PASS
final/de/all-features-3840x2160.png,de,common-sheet,3840,2160,4159951,908eefdb7b317c91e6fe8bf031738c988726654fa998b7d50d3abf8d13ad3822,LOCALIZED_ALL_FEATURES_OVERVIEW_FROM_AUTHENTIC_CAPTURES,PASS,PASS
final/de/phone/background.png,de,phone,2160,3840,4291996,c3eee4d6ae4aef64ee52c885a87b021e40b308f624ee5334a2bb0cfcf1b08033,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/phone/batch.png,de,phone,2160,3840,454663,8cb12b9c390b0241d8f2513127ea351da748af8c56a48873509fbb32c1cf2bc1,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/phone/editor.png,de,phone,2160,3840,7030035,15ea6bb77fb7f6e253745ef9ea3bbf04fe2a224764f39a162164d2268cc6086e,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/phone/history.png,de,phone,2160,3840,1902228,920706061c790fe3f6c3c7293c8aeaa9046a56eac82b5265344c329babe42be8,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/phone/home.png,de,phone,2160,3840,1807948,1d795eb9fefb0fe95b967987947060d5c6972ac82c9091a7f0027d535e26390c,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/phone/result-stats.png,de,phone,2160,3840,1512100,104632058febacd1218cc469e06e03ee61aba6c4ec1d81710d605d6da8945923,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/phone/result.png,de,phone,2160,3840,5030367,f04c691f40257141a0fb3fc3f825400cf80226e8137e2cacd16d0781304d0e53,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/phone/settings.png,de,phone,2160,3840,591131,99ba03051ba03a75441225fdb10965b8888c731d4cf16dfddc9aa88b7e8affdb,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-7/background.png,de,tablet-7,3840,2160,4338292,1f068d6bc0dd72bac783ed307c82ce336c7f07725773b482a3434cff26d90c34,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-7/batch.png,de,tablet-7,3840,2160,385968,adc0f2612f3c0c004ef96507bb49382a099ef9871223306816afdb0dd2be0062,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-7/editor.png,de,tablet-7,3840,2160,4989220,8e96376d3aae224562439d15f8402913baaf32e1e5984c860a7ad051012a60e3,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-7/history.png,de,tablet-7,3840,2160,1130142,edc2386209f1c41847030628173c0a9da9059688b2eb991927f8c4a2b8c4bb08,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-7/home.png,de,tablet-7,3840,2160,892347,cde5f175e6af7720fd272bf1cd388846c09c34e39e38b33610c15247045c8b00,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-7/result-stats.png,de,tablet-7,3840,2160,673300,a8430904afd6d5690491d42c6871b88920b22424bc0df53bb102a3e0d6d554ec,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-7/result.png,de,tablet-7,3840,2160,5975346,0825b47b77a272d4383522934a14c804d3ddf5b2e52bac3dd1c10fa1bac73a6b,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-7/settings.png,de,tablet-7,3840,2160,449697,d5aac2ef8c180d8e8d95dcda9e5011333f7a896dbf758157b44e249bc640440f,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-10/background.png,de,tablet-10,3840,2160,4588387,8bfa8f99f9d24c19c4639da12ea19d860bca84580dc890ac7e6890285820049f,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-10/batch.png,de,tablet-10,3840,2160,364523,f7c966f5a7aacb8d098f0a9a2bd82ede56eb2ff063ee42c17b04fc3e6fdced09,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-10/editor.png,de,tablet-10,3840,2160,5221811,7b1a7a7e716f91d4d194aeda936286a49c3b9e9b4e059203e971e2dc03aabadc,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-10/history.png,de,tablet-10,3840,2160,897049,35bb2ed2c6c00f76b788a9ead19b8896e4cd166989b7599cef369f4aff291881,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-10/home.png,de,tablet-10,3840,2160,905114,7e7077d26ee3fdfdb9f3b5344793034cb419911145e2a8e06a6e258436b80b30,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-10/result-stats.png,de,tablet-10,3840,2160,606827,03435e85338e61c044b26bf1123922797412293c453978e5db6496722593b785,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-10/result.png,de,tablet-10,3840,2160,6387321,acc4cda964d08a3571067e5f3ab6e2f34c2de7c73962ce0bc4dcb65ab0b6150e,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/tablet-10/settings.png,de,tablet-10,3840,2160,490577,82eb2eb03dfa03cf44271c541b62d03f51cc613b7c2934b458efe264f943eef3,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/chromebook/background.png,de,chromebook,3840,2160,5019523,45f154b51e536c8ca9821187de8a0d44aab4d1de90751196e152d44e5d399e2a,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/chromebook/batch.png,de,chromebook,3840,2160,322776,956a8c76d3eb04af46230debde5622a64e9d8db23668c5d7751f8a474eafcad2,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/chromebook/editor.png,de,chromebook,3840,2160,5612272,bcd70b8b19dec660f03c70ba6a2e8792b3edfdf14a4afc057152be792445c2ce,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/chromebook/history.png,de,chromebook,3840,2160,581618,80851afb8038623967ade092a1bbb51c65eb015ff4451a93d08ebc3bef05d31f,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/chromebook/home.png,de,chromebook,3840,2160,585718,a7e11875c634afad1baed69a7096f36bd1a1368ea2658a6fb406634260f5d1c5,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/chromebook/result-stats.png,de,chromebook,3840,2160,610716,58469ca3ea3cf0099bfec1045a55e5ed9227eeb44c669eacca58d85dbc2bae5c,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/chromebook/result.png,de,chromebook,3840,2160,7045326,628b14bac7aef0747951e17a83bb6c6813653dc9b156e5f961bb792de2ff1be3,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/de/chromebook/settings.png,de,chromebook,3840,2160,417888,3ac03263043a15054797f1f51d1c91db129c82edd425d11eafcec5df387de12e,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/feature-graphic/feature-graphic-1024x500.png,fr,feature-graphic,1024,500,446441,bf1bfaa600a32e1554a81466b374f70c6aedab532aed340adbfae425eb2152e2,REGISTERED_REAL_BEFORE_AFTER_AND_LOCALIZED_UI,NOT_APPLICABLE_REGISTERED_INPUTS,PASS
final/fr/all-features-3840x2160.png,fr,common-sheet,3840,2160,4163726,1cfe920b16078bf0f4036363eb9050c78d8210f8daf3d580f3aea71ef6564a77,LOCALIZED_ALL_FEATURES_OVERVIEW_FROM_AUTHENTIC_CAPTURES,PASS,PASS
final/fr/phone/background.png,fr,phone,2160,3840,4296476,4273a4ce12ff50a92ccf342ec0a0cf6ecabd569f3ef34e068c2841b93d6b0042,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/phone/batch.png,fr,phone,2160,3840,430924,3bb3ee5a78e9839a34bfba74a8ff37df43f739c0bfb94b3aac28d4d681ea5ef7,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/phone/editor.png,fr,phone,2160,3840,7019425,a5db5214265af4f67054ba1191d1878a66fa49f83aa66fe399cc9b3af0c117cb,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/phone/history.png,fr,phone,2160,3840,1920563,37f256f6fbb677dbb5e29d25a59699542dfb3225eb0c03fa931904b7c57dc088,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/phone/home.png,fr,phone,2160,3840,1793795,e9155c185cad0e9c082485d5acee860ba68e1d34fb6a71a7150222710dcfdbe6,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/phone/result-stats.png,fr,phone,2160,3840,1211614,5fecf2e8b1f5db44d14551f725e355967625e3fff579b2ab55024317924b41c6,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/phone/result.png,fr,phone,2160,3840,5201379,4d450050a3825fc07305657434aa51d82c416012cf34051160ef0ca9cbb76c7e,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/phone/settings.png,fr,phone,2160,3840,583551,003ba14b7cd8b7b1303a2dc457b814cd64b8bcbe1d6ee2f559fa55ab22fe5689,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-7/background.png,fr,tablet-7,3840,2160,4337447,521c4a62d5fcc97d995376c3dc19314f199b079c8c2e6ec094aadbceabecfbe2,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-7/batch.png,fr,tablet-7,3840,2160,373681,842fedd54830f64ab96583853f462fa99b61bff1f0469aa80552ad40e5f506ba,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-7/editor.png,fr,tablet-7,3840,2160,4985361,011d7e7f2eca09efe6868703754012fd059db39b2c8342908d87a5de2f3f86cc,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-7/history.png,fr,tablet-7,3840,2160,1137864,613b5fae3a184a4fe80c89623273cd63a0f7bd97cda149c131fa8437e78676c1,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-7/home.png,fr,tablet-7,3840,2160,884460,56686acd525802e48f16855bc230e4b27733fceefb264ff19188864c929d3cdc,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-7/result-stats.png,fr,tablet-7,3840,2160,799669,76744db003d034adf6bfbc99d68ceeb900033bc7d0a2ff5ec43c4044d83ce233,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-7/result.png,fr,tablet-7,3840,2160,5970589,8b85b19d2745b174f406a5d3208c1e2f4055e871ad82f47a999bee5cdafec7cf,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-7/settings.png,fr,tablet-7,3840,2160,442318,6ec4dc88abab0511ffb8ef10420967348672b35771ed62a3ed2023214d03f0d3,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-10/background.png,fr,tablet-10,3840,2160,4587820,36b42155a55bc8312423a9f5fd31738be55dea41d3508092a3aa7c1696164961,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-10/batch.png,fr,tablet-10,3840,2160,352510,19fc9b12631edfb46cc5c5ebb32318e07fc6ae7f6854b0f759c29c6aa62d0184,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-10/editor.png,fr,tablet-10,3840,2160,5218457,db41d122e4a56066b74c7c2c951653da0b619d2c284f87ae80660e512d74c226,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-10/history.png,fr,tablet-10,3840,2160,911076,77225644ec7d6bd3b4c6d93f979acecde01a33384bf47b83bdbfc053848fda9d,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-10/home.png,fr,tablet-10,3840,2160,898869,598b7f3946fd16e2f46a60e18836de4be4ef89faa6d53eeab7a57e72794c5a3e,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-10/result-stats.png,fr,tablet-10,3840,2160,761828,bb15405f88c895d1320226f7f60b37c73bc138cb968b38e3933901e28e10227a,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-10/result.png,fr,tablet-10,3840,2160,6383289,e7317d5846d6f743fd9d9337eca63b784b255d82a025c3680d523e79ee2ac9e0,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
final/fr/tablet-10/settings.png,fr,tablet-10,3840,2160,479989,cd1b04b5556784f3acf3c950b32f37f7706aa55c81217cb1b17c1f66dc607fb4,AUTHENTIC_PRODUCTION_COMPOSABLE_CAPTURE,PASS,PASS
